100,16,16,0.3,64,389,91,0.0,298.0,0.4607820510864258
200,16,16,0.3,64,835,546,0.0,289.0,2.6465139389038086
300,16,16,0.3,64,1361,1057,0.0,304.0,6.516830921173096
400,16,16,0.3,64,1815,1506,0.0,309.0,16.392762184143066
500,16,16,0.3,64,2293,2000,0.0,293.0,27.959398984909058
600,16,16,0.3,64,2755,2455,0.0,300.0,56.886494159698486
700,16,16,0.3,64,3199,2902,0.0,297.0,82.9551169872284
800,16,16,0.3,64,3748,3432,0.0,316.0,112.35358786582947
900,16,16,0.3,64,4187,3877,0.0,310.0,168.79023385047913
1000,16,16,0.3,64,4708,4375,0.0,333.0,26421.109426021576
